Team,Conference,Games,Wins,Losses,Off Rank,Off Plays,Off Yards,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,First Downs,Interceptions Thrown.x,Pass Yards,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Pass Yards Per Game Allowed,Rushing Def Rank,Opp Rush Touchdowns Allowed,Rushing Off Rank,Rushing TD,Sack Rank,Scoring Def Rank,Touchdowns Allowed,Points Allowed,Avg Points per Game Allowed,Scoring Off Rank,Touchdowns,PAT,2 Point Conversions,Feild Goals,Total Points,Points Per Game,Time of Possession Rank,Turnover Rank,Fumbles Recovered
Air Force ,Mountain West,13,11,2,51,881,5483,55,421.8,17,752,4155,32,34,319.6,286,6,1602,14,123.2,51,219.1,7,11,2,41,72,20,34,258,19.8,21,58,52,1,13,443,34.1,2,78,9
Akron ,MAC,12,0,12,130,725,2918,14,243.2,83,871,4967,51,56,413.9,155,14,2347,12,195.6,29,200.4,116,28,130,2,130,122,56,435,36.3,130,15,13,1,7,126,10.5,122,128,6
Alabama ,SEC,13,11,2,6,842,6640,76,510.8,20,877,4218,24,26,324.5,318,6,4449,49,342.2,11,187.2,37,9,56,27,44,13,26,242,18.6,2,83,80,0,12,614,47.2,70,3,11
Appalachian St. ,Sun Belt,14,13,1,39,969,6064,65,433.1,26,940,4705,34,35,336.1,295,6,2824,30,201.7,35,206.7,29,14,16,35,34,21,35,280,20,9,73,72,0,11,543,38.8,36,7,10
Arizona ,Pac-12,12,4,8,30,873,5281,42,440.1,120,889,5657,53,54,471.4,270,12,3193,23,266.1,126,289.8,88,27,52,19,111,118,54,429,35.8,77,42,37,1,10,323,26.9,115,89,4
Arizona St. ,Pac-12,13,8,5,94,842,4837,34,372.1,67,928,5113,39,39,393.3,233,4,3235,21,248.8,115,268.2,26,15,115,13,72,35,39,291,22.4,96,36,29,4,23,322,24.8,86,6,15
Arkansas ,SEC,12,2,10,111,783,4081,28,340.1,110,827,5408,54,57,450.7,219,15,2315,14,192.9,69,229.2,122,29,85,14,94,124,57,442,36.8,110,31,29,0,14,257,21.4,111,97,10
Arkansas St. ,Sun Belt,13,8,5,33,925,5711,50,439.3,124,1018,6218,55,56,478.3,287,11,4057,37,312.1,111,262.8,118,32,112,13,81,114,56,444,34.2,26,54,53,0,19,438,33.7,113,86,7
Army West Point ,FBS Independent,13,5,8,89,869,4929,51,379.2,30,789,4450,37,38,342.3,272,7,1066,6,82,5,178.9,73,21,3,45,102,41,38,299,23,67,52,44,1,4,370,28.5,14,70,10
Auburn ,SEC,13,9,4,64,947,5285,51,406.5,28,905,4381,31,32,337,279,6,2697,20,207.5,47,213.8,25,10,33,31,64,17,32,254,19.5,28,54,52,1,18,432,33.2,73,27,13
Ball St. ,MAC,12,5,7,16,909,5556,51,463,91,876,5096,45,47,424.7,292,7,2923,24,243.6,95,245.1,86,34,22,27,118,94,47,377,31.4,18,53,49,2,15,418,34.8,59,15,9
Baylor ,Big 12,14,11,3,52,948,5901,59,421.5,39,1032,5046,31,32,360.4,308,8,3571,24,255.1,49,217.6,49,16,61,35,9,19,32,277,19.8,27,61,57,0,16,471,33.6,102,11,13
Boise St. ,Mountain West,14,12,2,48,993,6006,58,429,33,928,4848,39,39,346.3,318,11,3664,31,261.7,77,233.6,15,19,59,27,20,31,39,306,21.9,19,63,61,1,15,486,34.7,37,61,9
Boston College ,ACC,13,6,7,47,964,5579,47,429.2,125,983,6223,48,49,478.7,277,6,2288,20,176,122,285.5,100,19,8,27,110,101,49,418,32.2,66,49,45,1,12,377,29,110,33,7
Bowling Green ,MAC,12,3,9,120,839,3829,24,319.1,117,798,5606,60,62,467.2,204,15,1888,9,157.3,64,224.3,126,36,65,15,72,126,62,463,38.6,128,25,22,0,6,192,16,83,103,8
Buffalo ,MAC,13,8,5,82,937,5051,50,388.5,7,780,3795,33,35,291.9,276,6,1795,14,138.1,22,197.8,4,15,10,36,8,26,35,277,21.3,46,54,50,0,11,409,31.5,5,19,11
BYU ,FBS Independent,13,7,6,28,933,5769,45,443.8,68,914,5116,36,40,393.5,294,11,3701,20,284.7,65,226,78,14,68,25,117,48,40,331,25.5,67,46,43,0,17,370,28.5,52,57,7
California ,Pac-12,13,8,5,117,841,4271,35,328.5,65,945,5076,32,32,390.5,244,9,2561,19,197,112,264.2,27,16,104,16,21,33,32,285,21.9,112,35,33,0,11,276,21.2,78,46,8
Central Mich. ,MAC,14,8,6,37,999,6070,55,433.6,41,938,5082,45,49,363,312,13,3531,19,252.2,89,240.2,24,20,42,36,68,72,49,396,28.3,54,55,47,4,13,426,30.4,57,120,6
Charlotte ,C-USA,13,7,6,56,848,5388,50,414.5,59,824,4952,50,56,380.9,271,14,2749,24,211.5,14,189,97,27,31,26,21,103,56,421,32.4,59,52,42,2,10,388,29.8,24,90,6
Cincinnati ,AAC,14,11,3,80,993,5464,49,390.3,40,987,5060,32,34,361.4,290,11,2552,19,182.3,60,222.8,44,15,25,30,60,24,34,288,20.6,60,52,51,1,16,415,29.6,26,31,10
Clemson ,ACC,15,14,1,5,1075,7931,85,528.7,6,970,4325,24,24,288.3,393,10,4325,40,288.3,4,172.3,19,10,13,45,13,3,24,203,13.5,4,88,85,2,14,659,43.9,61,8,11
Coastal Carolina ,Sun Belt,12,5,7,74,854,4725,45,393.8,62,761,4603,48,50,383.6,266,9,2379,21,198.3,61,223.5,70,23,34,24,94,85,50,366,30.5,55,46,35,4,15,364,30.3,10,61,6
Colorado ,Pac-12,12,5,7,83,847,4662,32,388.5,104,815,5303,49,50,441.9,257,11,2858,18,238.2,123,288.3,61,21,79,14,72,96,50,382,31.8,100,33,31,1,17,282,23.5,49,43,6
Colorado St. ,Mountain West,12,4,8,34,841,5249,39,437.4,52,811,4529,42,47,377.4,258,11,3663,21,305.3,7,181.6,104,23,103,18,47,91,47,374,31.2,71,42,41,1,14,337,28.1,63,123,7
Duke ,ACC,12,5,7,114,873,3956,34,329.7,56,852,4555,40,43,379.6,224,14,2152,18,179.3,24,199,87,19,79,16,18,77,43,350,29.2,94,37,34,1,15,303,25.3,89,123,8
East Carolina ,AAC,12,4,8,46,900,5162,34,430.2,119,864,5632,52,53,469.3,288,10,3466,22,288.8,108,261.6,113,28,91,12,85,111,53,404,33.7,78,36,33,0,24,321,26.8,75,53,7
Eastern Mich. ,MAC,13,6,7,67,883,5271,48,405.5,94,922,5596,51,52,430.5,285,12,3681,27,283.2,81,236.2,102,30,116,21,98,87,52,398,30.6,65,49,35,4,14,379,29.2,99,40,10
FIU ,C-USA,13,6,7,91,877,4902,37,377.1,69,898,5117,42,43,393.6,259,6,2754,14,211.8,17,195,106,26,63,23,102,63,43,354,27.2,83,40,37,1,21,344,26.5,90,46,6
Fla. Atlantic ,C-USA,14,11,3,23,1053,6280,62,448.6,50,979,5239,40,41,374.2,330,8,3956,30,282.6,87,238.7,33,17,62,32,46,40,41,318,22.7,14,65,56,4,18,510,36.4,91,1,11
Florida ,SEC,13,11,2,45,865,5597,54,430.5,9,809,3963,23,23,304.8,297,10,3910,33,300.8,32,202.1,8,9,107,21,4,7,23,201,15.5,28,55,51,0,17,432,33.2,60,33,7
Florida St. ,ACC,13,6,7,60,909,5308,48,408.3,90,1039,5514,37,40,424.2,265,13,3479,24,267.6,119,276.7,54,18,93,24,44,67,40,362,27.8,73,49,46,1,7,363,27.9,125,86,10
Fresno St. ,Mountain West,12,4,8,85,767,4632,44,386,88,879,5037,44,46,419.8,232,11,2721,17,226.8,107,259.2,71,24,67,27,106,82,46,361,30.1,58,46,44,1,12,360,30,88,38,11
Ga. Southern ,Sun Belt,13,7,6,118,821,4260,38,327.7,55,871,4929,46,47,379.2,223,1,968,9,74.5,92,242.8,35,18,7,29,81,70,47,366,28.2,70,44,36,2,20,366,28.2,13,19,10
Georgia ,SEC,14,12,2,61,940,5713,47,408.1,3,900,3860,18,20,275.7,295,6,3122,26,223,31,201.1,1,2,41,21,60,1,20,176,12.6,50,50,46,2,27,431,30.8,18,49,8
Georgia St. ,Sun Belt,13,7,6,31,981,5718,52,439.8,112,886,5922,60,62,455.5,305,9,2577,22,198.2,84,237.9,119,33,12,30,102,121,62,471,36.2,47,53,50,1,12,406,31.2,74,57,8
Georgia Tech ,ACC,12,3,9,127,717,3436,26,286.3,89,870,5075,45,49,422.9,181,10,1607,14,133.9,36,207.7,117,27,72,12,111,104,49,389,32.4,124,27,23,2,3,200,16.7,121,93,9
Hawaii ,Mountain West,15,10,5,13,1056,7065,63,471,96,1029,6470,60,61,431.3,367,17,5056,42,337.1,67,228.5,111,37,100,21,124,98,61,478,31.9,24,68,64,2,10,508,33.9,35,117,5
Houston ,AAC,12,4,8,78,780,4698,39,391.5,118,824,5610,53,54,467.5,233,12,2440,19,203.3,124,288.4,85,24,37,20,94,113,54,408,34,51,44,40,2,20,368,30.7,38,111,6
Illinois ,Big Ten,13,6,7,115,857,4283,38,329.5,77,949,5310,40,41,408.5,226,9,2409,19,185.3,45,212.9,103,19,87,19,81,54,41,340,26.2,79,44,42,1,13,347,26.7,128,12,16
Indiana ,Big Ten,13,8,5,41,940,5626,48,432.8,36,853,4579,37,39,352.2,304,9,3931,24,302.4,46,213.7,43,17,106,24,69,45,39,317,24.4,43,51,46,2,19,413,31.8,7,50,10
Iowa ,Big Ten,13,10,3,99,864,4765,33,366.5,12,835,4007,20,21,308.2,248,7,2976,16,228.9,19,195.7,14,6,97,17,37,5,21,182,14,88,36,32,0,29,335,25.8,22,14,9
Iowa St. ,Big 12,13,7,6,27,896,5776,51,444.3,45,896,4801,35,39,369.3,298,9,4047,29,311.3,72,229.8,47,13,102,22,64,50,39,337,25.9,39,53,49,0,17,418,32.2,51,86,7
Kansas ,Big 12,12,3,9,90,773,4527,35,377.3,122,927,5702,54,56,475.2,224,14,2778,25,231.5,98,249.5,124,32,86,10,111,120,56,433,36.1,100,36,27,3,11,282,23.5,120,125,2
Kansas St. ,Big 12,13,8,5,103,841,4666,41,358.9,44,776,4789,31,31,368.4,254,5,2352,12,180.9,33,202.9,76,19,47,29,98,27,31,278,21.4,61,47,46,0,19,385,29.6,9,57,4
Kent St. ,MAC,13,7,6,66,905,5273,41,405.6,121,974,6155,52,52,473.5,283,2,2846,24,218.9,68,228.8,127,34,40,17,81,97,52,414,31.8,63,42,39,1,29,380,29.2,127,27,11
Kentucky ,SEC,13,8,5,76,830,5102,45,392.5,21,796,4220,30,32,324.6,252,8,1478,9,113.7,2,167.8,64,21,4,36,37,14,32,251,19.3,76,47,42,0,9,353,27.2,20,70,11
La.-Monroe ,Sun Belt,12,5,7,17,868,5531,50,460.9,128,865,5802,56,61,483.5,272,12,3044,21,253.7,73,230.8,128,31,26,29,100,127,61,464,38.7,45,51,44,1,9,379,31.6,77,61,8
Liberty ,FBS Independent,13,8,5,32,887,5712,54,439.4,80,926,5319,45,46,409.2,289,8,3756,29,288.9,52,219.5,96,18,78,25,28,68,46,365,28.1,34,56,52,0,13,427,32.8,112,50,6
Louisiana ,Sun Belt,14,11,3,8,987,6918,69,494.1,47,955,5205,32,33,371.8,351,4,3314,27,236.7,21,197.7,82,21,6,42,53,18,33,276,19.7,10,69,67,0,16,531,37.9,67,37,9
Louisiana Tech ,C-USA,13,10,3,35,933,5679,48,436.8,53,941,4910,33,35,377.7,304,10,3490,21,268.5,90,240.5,37,19,57,27,87,30,35,284,21.8,35,54,53,0,15,422,32.5,43,26,9
Louisville ,ACC,13,8,5,24,871,5815,55,447.3,102,904,5719,58,58,439.9,263,9,3048,32,234.5,79,234.2,112,27,24,23,69,109,58,434,33.4,30,58,55,0,9,430,33.1,33,70,11
LSU ,SEC,15,15,0,1,1080,8527,93,568.5,31,1008,5153,39,42,343.5,418,7,6024,61,401.6,59,222.7,21,19,60,32,43,32,42,328,21.9,1,95,89,1,21,726,48.4,53,15,5
Marshall ,C-USA,13,8,5,73,887,5119,37,393.8,57,891,4935,39,41,379.6,271,11,2605,16,200.4,75,231.6,56,23,35,21,28,47,41,325,25,88,40,35,2,18,335,25.8,40,78,6
Maryland ,Big Ten,12,3,9,109,767,4121,39,343.4,109,906,5390,50,53,449.2,201,12,2088,16,174,116,271.3,83,27,55,23,94,115,53,416,34.7,94,42,39,0,2,303,25.3,129,97,6
Massachusetts ,FBS Independent,12,1,11,126,822,3517,29,293.1,130,867,6734,82,86,561.2,190,16,2022,15,168.5,109,262.1,130,50,114,14,126,130,86,632,52.7,118,31,30,0,7,237,19.8,126,53,11
Memphis ,AAC,14,12,2,10,992,6791,65,485.1,61,999,5369,42,45,383.5,327,11,4177,33,298.4,20,195.9,93,27,39,32,34,58,45,370,26.4,8,71,65,1,23,566,40.4,50,69,8
Miami (FL),ACC,13,6,7,98,844,4774,43,367.2,13,849,4028,29,30,309.8,253,10,3239,27,249.2,18,195.2,17,13,120,16,6,23,30,263,20.2,90,43,38,1,12,334,25.7,62,46,10
Miami (OH),MAC,14,8,6,122,870,4328,33,309.1,60,1014,5347,50,52,381.9,216,10,2495,11,178.2,40,209.2,81,24,105,22,27,69,52,394,28.1,99,37,36,0,26,338,24.1,107,52,9
Michigan ,Big Ten,13,9,4,68,905,5220,51,401.5,11,846,3994,36,37,307.2,286,9,3261,25,250.8,10,185.5,22,20,77,26,21,25,37,269,20.7,44,52,46,3,16,412,31.7,76,61,11
Michigan St. ,Big Ten,13,7,6,95,932,4835,29,371.9,18,843,4181,35,37,321.6,274,15,3182,17,244.8,37,207.8,16,11,113,12,12,37,37,293,22.5,105,32,31,0,22,291,22.4,34,78,10
Middle Tenn. ,C-USA,12,4,8,59,771,4900,40,408.3,114,888,5512,42,43,459.3,247,9,2837,22,236.4,113,265.3,101,19,53,18,129,81,43,359,29.9,85,41,35,1,11,316,26.3,118,43,9
Minnesota ,Big Ten,13,11,2,42,883,5616,56,432,10,787,3986,32,37,306.6,294,8,3293,31,253.3,9,184.2,23,18,46,25,64,37,37,293,22.5,21,59,54,1,11,443,34.1,4,40,5
